epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,782.895,1.22094,1.36931,1.00094,0.35076,0.40479,0.47741,0.39499,0.92567,2.03309,1.01637,0.000495291,0.000495291,0.000495291
68,794.614,1.21693,1.39995,1.02158,0.41156,0.47619,0.48355,0.40585,0.85964,1.98179,1.00152,0.000481144,0.000481144,0.000481144
69,806.286,1.22829,1.36906,1.01337,0.41156,0.47619,0.48355,0.40585,0.85964,1.98179,1.00152,0.000466997,0.000466997,0.000466997
70,817.94,1.30366,1.40577,1.07038,0.40329,0.47619,0.48094,0.41208,0.86663,1.86397,1.00804,0.00045285,0.00045285,0.00045285
71,829.753,1.10775,1.25978,0.98736,0.46385,0.46759,0.50938,0.42216,0.90145,1.72661,1.02239,0.000438703,0.000438703,0.000438703
72,841.531,1.08421,1.27981,1.00035,0.33471,0.62966,0.52099,0.42459,0.96391,1.6257,1.03208,0.000424556,0.000424556,0.000424556
73,853.293,1.13467,1.31298,1.00897,0.33471,0.62966,0.52099,0.42459,0.96391,1.6257,1.03208,0.000410409,0.000410409,0.000410409
74,865.108,1.18185,1.36363,1.01551,0.32557,0.63761,0.53873,0.4276,0.97788,1.57686,1.02764,0.000396262,0.000396262,0.000396262
75,876.857,1.08601,1.2517,1.00141,0.31811,0.61905,0.51863,0.4017,0.9658,1.54729,1.02057,0.000382115,0.000382115,0.000382115
76,888.525,1.05297,1.26593,1.00693,0.35272,0.61905,0.4986,0.39679,0.93097,1.5491,1.01408,0.000367967,0.000367967,0.000367967
77,900.21,1.14708,1.25582,0.98771,0.35272,0.61905,0.4986,0.39679,0.93097,1.5491,1.01408,0.00035382,0.00035382,0.00035382
78,911.892,1.19547,1.28563,1.00835,0.30587,0.69544,0.49668,0.40973,0.919,1.57101,1.01806,0.000339673,0.000339673,0.000339673
79,923.582,1.11756,1.21424,1.00076,0.34207,0.83085,0.46474,0.38827,0.9337,1.56189,1.02931,0.000325526,0.000325526,0.000325526
80,935.179,1.10052,1.24517,1.02149,0.38069,0.92565,0.48331,0.37985,0.9512,1.54022,1.0339,0.000311379,0.000311379,0.000311379
81,946.814,1.11937,1.34218,1.01911,0.38069,0.92565,0.48331,0.37985,0.9512,1.54022,1.0339,0.000297232,0.000297232,0.000297232
82,958.501,1.15619,1.22024,0.99761,0.36432,0.95238,0.48912,0.35524,0.96911,1.52426,1.03323,0.000283085,0.000283085,0.000283085
83,970.225,1.15225,1.24973,1.00539,0.41323,0.95238,0.48888,0.35931,0.95133,1.53384,1.01892,0.000268938,0.000268938,0.000268938
84,982.112,1.11886,1.20112,0.98014,0.44334,0.95238,0.49289,0.37336,0.89169,1.514,0.99837,0.000254791,0.000254791,0.000254791
85,993.78,1.12542,1.26606,1.00059,0.44334,0.95238,0.49289,0.37336,0.89169,1.514,0.99837,0.000240644,0.000240644,0.000240644
86,1005.45,1.07834,1.25544,1.0053,0.44,0.95238,0.49887,0.38659,0.86383,1.48548,0.98943,0.000226497,0.000226497,0.000226497
87,1017.13,1.09749,1.17861,1.00687,0.48532,0.85672,0.57585,0.46009,0.88362,1.45301,0.9994,0.000212349,0.000212349,0.000212349
88,1028.91,1.05156,1.1519,0.97265,0.43991,0.8639,0.57663,0.46572,0.92869,1.46966,1.01868,0.000198202,0.000198202,0.000198202
89,1040.61,1.05263,1.17446,0.95448,0.43991,0.8639,0.57663,0.46572,0.92869,1.46966,1.01868,0.000184055,0.000184055,0.000184055
90,1052.31,1.05215,1.13409,0.95848,0.48018,0.81959,0.56506,0.45272,0.96212,1.50371,1.03493,0.000169908,0.000169908,0.000169908
91,1063.84,1.0008,1.16521,0.97013,0.46789,0.82847,0.55995,0.45038,1.01322,1.52508,1.04706,0.000155761,0.000155761,0.000155761
92,1075.65,1.00398,1.16959,0.9752,0.44494,0.84079,0.56423,0.45486,1.06476,1.52928,1.06246,0.000141614,0.000141614,0.000141614
93,1087.08,1.01269,1.18169,0.99854,0.44494,0.84079,0.56423,0.45486,1.06476,1.52928,1.06246,0.000127467,0.000127467,0.000127467
94,1098.62,0.97464,1.09487,0.9363,0.4385,0.84725,0.56928,0.43313,1.13287,1.56248,1.07892,0.00011332,0.00011332,0.00011332
95,1110.18,0.9592,1.08751,0.96845,0.43476,0.83209,0.56829,0.4322,1.17675,1.58963,1.08857,9.91726e-05,9.91726e-05,9.91726e-05
96,1121.73,0.95596,1.12765,0.97952,0.43591,0.83767,0.57621,0.44332,1.18482,1.64741,1.08724,8.50255e-05,8.50255e-05,8.50255e-05
97,1133.76,0.94829,1.07151,0.96008,0.43591,0.83767,0.57621,0.44332,1.18482,1.64741,1.08724,7.08784e-05,7.08784e-05,7.08784e-05
98,1145.65,0.98225,1.09217,0.95164,0.43983,0.85115,0.5662,0.43521,1.16792,1.65721,1.07752,5.67313e-05,5.67313e-05,5.67313e-05
99,1157.39,0.94904,1.11045,0.98421,0.44028,0.85287,0.55539,0.43072,1.14237,1.66055,1.06687,4.25842e-05,4.25842e-05,4.25842e-05
100,1168.99,0.95862,1.07024,0.96467,0.4405,0.84593,0.55539,0.43071,1.12062,1.66301,1.05958,2.84371e-05,2.84371e-05,2.84371e-05
